"REGION","ANNEE","NUTS","POPULATION","DENSITE","PIBH","EDUC_JEUNE","RISQUE_PAUVR_NB","RISQUE_PAUVR_TX","CHOMAGE_TX","DEGRES_JOUR_COLD","DEGRES_JOUR_HOT"
"EU28",2009,"NUTS 2",502090235,115.6,24500,14.2,NA,NA,9,76.02,3103.89
"EU28",2008,"NUTS 2",500297033,115.1,26100,14.7,NA,NA,7.1,69.05,3036.31
"EU28",2007,"NUTS 2",498300775,114.7,26100,14.9,NA,NA,7.2,73.21,2973.95
"EU28",2006,"NUTS 2",496436597,114.1,24700,15.3,NA,NA,8.3,88.57,3070.63
"EU28",2005,"NUTS 2",494598322,113.7,23400,15.7,NA,NA,9,65.85,3192.84
"EU28",2004,"NUTS 2",492555798,113.2,22500,16,NA,NA,9.3,59.46,3191.45
"EU28",2003,"NUTS 2",490691578,112.8,21600,16.4,NA,NA,9.1,120.51,3203.17
"EU28",2002,"NUTS 2",488962706,112.4,21300,17,NA,NA,9,57.49,3046.56
"EU28",2001,"NUTS 2",488240527,112,20600,NA,NA,NA,NA,73.96,3194.99
"EU28",2000,"NUTS 2",487259080,111.9,19800,NA,NA,NA,NA,66.65,2961.73
"EU28",1999,"NUTS 2",486577953,111.7,NA,NA,NA,NA,NA,61.88,3117.94
"EU28",1998,"NUTS 2",485877558,111.5,NA,NA,NA,NA,NA,74.96,3249.79
"EU28",1997,"NUTS 2",483512803,111,NA,NA,NA,NA,NA,42.13,3179.39
"EU28",1996,"NUTS 2",482736385,110.8,NA,NA,NA,NA,NA,41.33,3525.2
"EU28",1995,"NUTS 2",481904006,110.6,NA,NA,NA,NA,NA,55.06,3212.89
"EU28",1994,"NUTS 2",480893003,110.3,NA,NA,NA,NA,NA,91.46,2880.19
"EU28",1993,"NUTS 2",479561788,110,NA,NA,NA,NA,NA,51.12,3296.64
"EU28",1992,"NUTS 2",477925131,109.7,NA,NA,NA,NA,NA,65.28,3125.39
"EU28",1991,"NUTS 2",476842235,108.5,NA,NA,NA,NA,NA,57.78,3357.99
"EU28",1990,"NUTS 2",475187711,108.2,NA,NA,NA,NA,NA,48.87,3048.74
"EU28",2012,"NUTS 2",504047964,116.2,26600,12.7,NA,NA,10.5,108.32,3227.2
"EU28",2011,"NUTS 2",502964837,115.8,26200,13.4,NA,NA,9.7,72.57,2952.94
"EU28",2010,"NUTS 2",503170618,115.9,25500,13.9,NA,NA,9.6,89.84,3485.19
"EU28",2018,"NUTS 2",512379225,NA,NA,10.6,NA,NA,6.9,91.6,2938.13
"EU28",2017,"NUTS 2",511373278,117.7,30000,10.6,NA,NA,7.6,104.78,3031.66
"EU28",2016,"NUTS 2",510181874,117.7,29300,10.7,NA,NA,8.6,87.31,3024.59
"EU28",2015,"NUTS 2",508520205,117.2,29100,11,NA,NA,9.4,114.88,2907.89
"EU28",2014,"NUTS 2",507234194,116.9,27700,11.2,NA,NA,10.2,54.16,2808.67
"EU28",2013,"NUTS 2",505163008,116.3,26800,11.9,NA,NA,10.9,79.45,3156.79
