Pays;lon;lat
Espagne;-4.8380649;39.3262345
France;1.8883335;46.603354
Angleterre;-0.540240286617432;52.7954791
Allemagne;10.4234469;51.0834196
Italie;12.674297;42.6384261
Brésil;-53.2;-10.3333333
Ukraine;31.2718321;49.4871968
Russie;97.7453061;64.6863136
Portugal;-7.8896263;40.033265
Chine;104.999927;35.000074
Pays-Bas;5.53460738161551;52.2379891
Belgique;4.6667145;50.6402809
Argentine;-64.9672817;-34.9964963
Croatie;17.0118954;45.5643442
Suisse;8.2319736;46.7985624
Turquie;34.9249653;38.9597594
Qatar;51.2295295;25.3336984
Grèce;6.1271847;48.2426672
Écosse;5.0485902;50.5945676
Mexique;-100.0000375;22.5000485
Chili;-71.3187697;-31.7613365
Serbie;20.55144;44.1534121
Arabie Saoudite;42.3528328;25.6242618
UAE;31.2718321;49.4871968
USA;-100.4458825;39.7837304
Colombie;-73.783892;2.8894434
Danemark;10.3333283;55.670249
Uruguay;-56.0201525;-32.8755548
Roumanie;24.6859225;45.9852129
Venezuela;-66.1109318;8.0018709
Suède;28.9346516;41.0047066
République Tchèque;15.4749544;49.8167003
Japon;139.2394179;36.5748441
Autriche;13.199959;47.2000338
Bulgarie;25.4856617;42.6073975
Égypte;29.2675469;26.2540493
Israël;35.0015196;30.8760272
Maroc;-7.3362482;31.1728205
Pologne;19.0258159;52.0977181
Norvège;11.5280364395482;64.5731537
Corée du Sud;127.9408564;36.5581914
Équateur;-79.3666965;-1.3397668
Hongrie;19.5060937;47.1817585
Tunisie;9.400138;33.8439408
Paraguay;-58.1693445;-23.3165935
Moldavie;28.5110236;47.286747
